"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Keon Coleman","BUF","2.7","35.0","0.2","0.0","0.1","0.0","0.0","4.8"
"A.J. Brown","PHI","2.3","34.7","0.2","0.0","0.2","0.0","0.0","4.7"
"Allen Lazard","NYJ","2.4","31.5","0.3","0.0","0.1","0.0","0.0","4.7"
"Andrei Iosivas","CIN","2.7","32.3","0.2","0.0","0.3","0.0","0.0","4.6"
"Ray-Ray McCloud III","ATL","2.7","29.5","0.2","0.6","3.8","0.0","0.0","4.6"
"Alec Pierce","IND","2.1","33.9","0.2","0.0","0.1","0.0","0.0","4.5"
"Josh Reynolds","DEN","2.8","34.2","0.2","0.0","0.1","0.0","0.0","4.5"
"Dontayvion Wicks","GB","2.4","31.0","0.2","0.0","0.2","0.0","0.0","4.3"
"Jahan Dotson","PHI","2.5","31.7","0.2","0.0","0.2","0.0","0.0","4.3"
"Lil'Jordan Humphrey","DEN","3.0","35.0","0.1","0.0","0.0","0.0","0.0","4.3"
"Jalen Tolbert","DAL","2.5","29.9","0.2","0.0","0.2","0.0","0.0","4.2"
"Noah Brown","WAS","2.4","31.8","0.2","0.0","0.1","0.0","0.0","4.1"
"Jordan Whittington","LAR","2.5","30.6","0.2","0.1","0.5","0.0","0.0","4.0"
"Darius Slayton","NYG","2.2","30.1","0.2","0.0","0.1","0.0","0.0","3.9"
"Elijah Moore","CLE","2.7","28.5","0.2","0.1","0.8","0.0","0.0","3.9"
"Curtis Samuel","BUF","2.4","25.9","0.2","0.4","2.2","0.0","0.0","3.9"
"Tyler Boyd","TEN","2.9","30.9","0.1","0.0","0.2","0.0","0.0","3.8"
"Luke McCaffrey","WAS","2.5","29.1","0.1","0.0","0.2","0.0","0.0","3.8"
"Tre Tucker","LV","2.1","25.9","0.1","0.2","1.7","0.0","0.0","3.6"
"Deebo Samuel Sr.","SF","1.1","15.2","0.1","1.2","9.2","0.1","0.0","3.6"
"Tim Patrick","DET","1.8","22.9","0.1","0.0","0.2","0.0","0.0","3.2"
"Parris Campbell","PHI","2.2","23.8","0.1","0.0","0.0","0.0","0.0","3.2"
"Jalen Nailor","MIN","1.8","21.8","0.1","0.1","0.2","0.0","0.0","3.0"
"Jalen McMillan","TB","1.8","21.1","0.1","0.0","0.3","0.0","0.0","3.0"
"Calvin Austin III","PIT","1.8","21.0","0.1","0.1","1.5","0.0","0.0","2.9"
"Mack Hollins","BUF","1.5","19.9","0.1","0.0","0.0","0.0","0.0","2.9"
"Dyami Brown","WAS","1.5","21.3","0.1","0.0","0.1","0.0","0.0","2.8"
"Adonai Mitchell","IND","1.6","20.6","0.1","0.0","0.1","0.0","0.0","2.7"
"Van Jefferson","PIT","1.5","20.3","0.1","0.0","0.2","0.0","0.0","2.7"
"JuJu Smith-Schuster","KC","1.8","19.3","0.1","0.0","0.0","0.0","0.0","2.6"
"Ja'Lynn Polk","NE","1.7","20.3","0.1","0.1","0.4","0.0","0.0","2.6"
"K.J. Osborn","NE","1.5","17.3","0.1","0.1","0.6","0.0","0.0","2.3"
"Marquez Valdes-Scantling","BUF","1.0","16.2","0.1","0.0","0.1","0.0","0.0","2.3"
"Justin Watson","KC","1.1","16.0","0.1","0.0","0.0","0.0","0.0","2.2"
"Ronnie Bell","SF","1.2","14.9","0.1","0.0","0.0","0.0","0.0","2.1"
"Tyquan Thornton","NE","1.3","15.9","0.1","0.1","0.5","0.0","0.0","2.1"
"Johnny Wilson","PHI","1.2","15.5","0.1","0.0","0.1","0.0","0.0","2.1"
"Cedric Tillman","CLE","1.3","15.0","0.1","0.0","0.1","0.0","0.0","2.0"
"Nelson Agholor","BAL","1.1","14.2","0.1","0.0","0.1","0.0","0.0","2.0"
"David Moore","CAR","1.0","14.4","0.1","0.0","0.1","0.0","0.0","1.9"
"Marvin Mims Jr.","DEN","1.2","15.1","0.1","0.0","0.2","0.0","0.0","1.8"
"KaVontae Turpin","DAL","0.8","8.7","0.1","0.5","3.9","0.0","0.0","1.7"
"Trey Palmer","TB","1.0","11.9","0.1","0.0","0.2","0.0","0.0","1.7"
"Troy Franklin","DEN","1.1","12.5","0.1","0.0","0.0","0.0","0.0","1.6"
"Ashton Dulin","IND","0.9","11.5","0.1","0.0","0.1","0.0","0.0","1.6"
"Treylon Burks","TEN","0.9","11.7","0.0","0.2","1.0","0.0","0.0","1.5"
"Jalen Brooks","DAL","1.1","11.0","0.1","0.0","0.0","0.0","0.0","1.5"
"Cedrick Wilson Jr.","NO","0.9","10.6","0.1","0.0","0.0","0.0","0.0","1.5"
"Brandon Powell","MIN","0.9","9.7","0.1","0.1","0.7","0.0","0.0","1.4"
"Olamide Zaccheaus","WAS","0.8","10.2","0.1","0.0","0.1","0.0","0.0","1.4"
"Jalin Hyatt","NYG","0.8","10.5","0.1","0.0","0.0","0.0","0.0","1.4"
"Parker Washington","JAC","0.9","10.0","0.1","0.0","0.1","0.0","0.0","1.3"
"Chris Conley","SF","0.7","9.5","0.1","0.0","0.1","0.0","0.0","1.3"
"DeAndre Carter","CHI","0.8","9.3","0.0","0.0","1.5","0.0","0.0","1.2"
"Kalif Raymond","DET","0.7","7.9","0.1","0.1","1.1","0.0","0.0","1.2"
"Devaughn Vele","DEN","0.8","8.7","0.0","0.0","0.0","0.0","0.0","1.1"
"Kayshon Boutte","NE","0.8","9.2","0.0","0.0","0.1","0.0","0.0","1.1"
"Laviska Shenault Jr.","SEA","0.7","7.3","0.0","0.2","1.8","0.0","0.0","1.1"
"Xavier Gipson","NYJ","0.6","7.1","0.0","0.1","0.9","0.0","0.0","1.1"
"Braxton Berrios","MIA","0.8","7.1","0.0","0.0","0.1","0.0","0.0","1.0"
"Derius Davis","LAC","0.4","4.5","0.0","0.7","3.1","0.0","0.0","1.0"
"Jake Bobo","SEA","0.6","7.1","0.0","0.0","0.1","0.0","0.0","1.0"
"Mason Tipton","NO","0.9","7.8","0.0","0.0","0.0","0.0","0.0","1.0"
"Robert Woods","HOU","0.6","6.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Xavier Hutchinson","HOU","0.5","5.8","0.0","0.0","0.3","0.0","0.0","0.9"
"Simi Fehoko","LAC","0.5","5.8","0.0","0.0","0.0","0.0","0.0","0.8"
"Scotty Miller","PIT","0.5","5.7","0.0","0.0","0.1","0.0","0.0","0.7"
"Jermaine Burton","CIN","0.4","5.1","0.0","0.0","0.1","0.0","0.0","0.7"
"Roman Wilson","PIT","0.4","5.3","0.0","0.0","0.2","0.0","0.0","0.7"
"Trent Sherfield Sr.","MIN","0.4","5.1","0.0","0.0","0.1","0.0","0.0","0.7"
"Trenton Irwin","CIN","0.4","4.5","0.0","0.0","0.0","0.0","0.0","0.7"
"Zach Pascal","ARI","0.3","3.6","0.0","0.0","0.1","0.0","0.0","0.6"
"Devin Duvernay","JAC","0.3","2.8","0.0","0.3","1.6","0.0","0.0","0.5"
"Charlie Jones","CIN","0.3","3.4","0.0","0.0","0.1","0.0","0.0","0.5"
"Malachi Corley","NYJ","0.3","3.3","0.0","0.0","0.1","0.0","0.0","0.5"
"Jamison Crowder","WAS","0.3","2.9","0.0","0.0","0.0","0.0","0.0","0.4"
"Nick Westbrook-Ikhine","TEN","0.2","3.1","0.0","0.0","0.1","0.0","0.0","0.4"
"Malik Heath","GB","0.2","2.5","0.0","0.0","0.1","0.0","0.0","0.4"
"DJ Turner","LV","0.1","1.7","0.0","0.1","0.7","0.0","0.0","0.3"
"Bo Melton","GB","0.2","1.7","0.0","0.1","0.4","0.0","0.0","0.3"
"Grant DuBose","MIA","0.2","2.3","0.0","0.0","0.0","0.0","0.0","0.3"
"Velus Jones Jr.","CHI","0.1","1.6","0.0","0.1","0.5","0.0","0.0","0.3"
"Deonte Harty","BAL","0.1","1.2","0.0","0.0","0.2","0.0","0.0","0.2"
"Javon Baker","NE","0.1","1.6","0.0","0.0","0.1","0.0","0.0","0.2"
"Jacob Cowing","SF","0.1","1.6","0.0","0.0","0.1","0.0","0.0","0.2"
"A.T. Perry","NO","0.1","1.6","0.0","0.0","0.0","0.0","0.0","0.2"
"Chris Moore","ARI","0.1","1.2","0.0","0.0","0.1","0.0","0.0","0.2"
"Tyler Scott","CHI","0.1","1.1","0.0","0.0","0.1","0.0","0.0","0.2"
"Jamari Thrash","CLE","0.1","1.1","0.0","0.0","0.1","0.0","0.0","0.2"
"Ryan Flournoy","DAL","0.1","1.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Anthony Gould","IND","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Mecole Hardman Jr.","KC","0.1","0.8","0.0","0.0","0.1","0.0","0.0","0.2"
"Tylan Wallace","BAL","0.1","1.2","0.0","0.0","0.1","0.0","0.0","0.1"
"Tim Jones","JAC","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Jha'Quan Jackson","TEN","0.1","1.2","0.0","0.0","0.0","0.0","0.0","0.1"
"Dareke Young","SEA","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Ihmir Smith-Marsette","NYG","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Gunner Olszewski","NYG","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"John Metchie III","HOU","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Skyy Moore","KC","0.1","0.7","0.0","0.0","0.1","0.0","0.0","0.1"
"Malik Washington","MIA","0.1","0.7","0.0","0.0","0.1","0.0","0.0","0.1"
"Devontez Walker","BAL","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Casey Washington","ATL","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Bub Means","NO","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Brenden Rice","LAC","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
"Zay Jones","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KhaDarel Hodge","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah Williams","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bryce Ford-Wheaton","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kameron Johnson","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Irvin Charles","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
