"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tyler Badie","DEN","3.4","13.7","0.1","0.3","2.1","0.0","0.0","2.0"
"Deuce Vaughn","DAL","2.8","11.1","0.1","0.5","3.7","0.0","0.0","2.0"
"Emari Demercado","ARI","1.9","8.4","0.1","0.8","5.9","0.0","0.0","2.0"
"Kyle Juszczyk","SF","0.5","2.1","0.0","1.5","12.0","0.1","0.0","1.9"
"Ronnie Rivers","LAR","3.5","11.7","0.1","0.4","2.7","0.0","0.0","1.9"
"Trey Sermon","IND","2.3","9.8","0.1","0.3","2.5","0.0","0.0","1.6"
"Kenneth Gainwell","PHI","1.2","6.1","0.0","0.8","5.6","0.0","0.0","1.6"
"Dare Ogunbowale","HOU","1.0","3.5","0.0","1.1","8.4","0.0","0.0","1.5"
"Jeff Wilson Jr.","MIA","1.4","6.3","0.0","0.3","2.2","0.0","0.0","1.2"
"Ameer Abdullah","LV","1.0","3.5","0.0","0.7","5.4","0.0","0.0","1.1"
"Eric Gray","NYG","1.0","4.3","0.0","0.5","3.2","0.0","0.0","1.1"
"Jaylen Wright","MIA","1.2","5.3","0.0","0.3","1.7","0.0","0.0","1.0"
"Blake Corum","LAR","1.0","4.3","0.0","0.2","1.4","0.0","0.0","0.7"
"D'Ernest Johnson","JAC","0.5","4.4","0.0","0.2","1.3","0.0","0.0","0.6"
"Hunter Luepke","DAL","0.3","1.1","0.0","0.5","3.3","0.0","0.0","0.6"
"Kenny McIntosh","SEA","1.0","3.6","0.0","0.1","1.0","0.0","0.0","0.6"
"Alec Ingold","MIA","0.4","1.7","0.0","0.4","2.8","0.0","0.0","0.5"
"Jordan Mims","NO","0.0","2.3","0.0","0.1","0.5","0.0","0.0","0.5"
"JaMycal Hasty","NE","0.6","2.1","0.0","0.2","1.4","0.0","0.0","0.4"
"Kimani Vidal","LAC","0.0","1.5","0.0","0.1","0.5","0.0","0.0","0.4"
"Sean Tucker","TB","0.4","1.9","0.0","0.1","0.9","0.0","0.0","0.3"
"Sione Vaki","DET","0.0","1.8","0.0","0.2","1.6","0.0","0.0","0.3"
"Isaiah Davis","NYJ","0.3","1.8","0.0","0.1","0.7","0.0","0.0","0.3"
"Tyler Goodson","IND","0.1","1.1","0.0","0.2","1.4","0.0","0.0","0.3"
"Adam Prentice","NO","0.2","0.9","0.0","0.2","1.1","0.0","0.0","0.3"
"C.J. Ham","MIN","0.1","0.5","0.0","0.3","2.1","0.0","0.0","0.3"
"Michael Burton","DEN","0.1","0.3","0.0","0.3","2.1","0.0","0.0","0.3"
"Patrick Ricard","BAL","0.1","0.3","0.0","0.2","1.5","0.0","0.0","0.2"
"Jase McClellan","ATL","0.0","0.8","0.0","0.1","0.9","0.0","0.0","0.2"
"Cody Schrader","LAR","0.0","2.1","0.0","0.1","0.2","0.0","0.0","0.2"
"DeeJay Dallas","ARI","0.1","1.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Craig Reynolds","DET","0.0","0.7","0.0","0.2","1.5","0.0","0.0","0.2"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.2","1.4","0.0","0.0","0.2"
"Will Shipley","PHI","0.0","0.7","0.0","0.1","0.6","0.0","0.0","0.2"
"Hassan Haskins","LAC","0.1","1.0","0.0","0.1","0.5","0.0","0.0","0.1"
"Dylan Laube","LV","0.0","0.6","0.0","0.1","0.8","0.0","0.0","0.1"
"Raheem Blackshear","CAR","0.0","0.6","0.0","0.1","0.8","0.0","0.0","0.1"
"Israel Abanikanda","NYJ","0.0","0.4","0.0","0.1","1.0","0.0","0.0","0.1"
"Patrick Taylor Jr.","SF","0.1","0.5","0.0","0.1","0.6","0.0","0.0","0.1"
"Mike Boone","CAR","0.1","0.3","0.0","0.1","0.4","0.0","0.0","0.1"
"Travis Homer","CHI","0.1","0.3","0.0","0.1","0.4","0.0","0.0","0.1"
"British Brooks","HOU","0.1","0.3","0.0","0.1","0.5","0.0","0.0","0.1"
"Khari Blasingame","CHI","0.1","0.3","0.0","0.1","0.4","0.0","0.0","0.1"
"Blake Watson","DEN","0.0","0.4","0.0","0.1","0.5","0.0","0.0","0.1"
"Keaton Mitchell","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trayveon Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julius Chestnut","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Scott Matlock","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Avery Williams","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Velus Jones Jr.","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Kelly Jr.","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Bellore","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Gaskin","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dalvin Cook","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Royce Freeman","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Vaughn","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"J.J. Taylor","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Ward","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Carter","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Javian Hawkins","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jermar Jefferson","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gary Brightwell","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrion Davis-Price","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kevin Harris","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brittain Brown","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Troy Hairston II","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Rodriguez Jr.","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deneric Prince","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Brooks","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ellis Merriweather","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Louis Rees-Zammit","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dante Miller","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Wiley","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"George Holani","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
