"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Tyreek Hill","MIA","7.2","100.7","0.7","0.3","1.7","0.0","0.1","14.2"
"CeeDee Lamb","DAL","7.1","91.4","0.6","0.5","3.5","0.0","0.1","13.2"
"Deebo Samuel Sr.","SF","4.6","63.9","0.4","5.1","22.9","0.3","0.1","12.7"
"Amon-Ra St. Brown","DET","6.8","81.8","0.5","0.2","1.4","0.0","0.1","11.4"
"Justin Jefferson","MIN","6.5","85.2","0.5","0.0","0.3","0.0","0.1","11.3"
"Ja'Marr Chase","CIN","6.5","83.2","0.5","0.1","0.5","0.0","0.1","11.2"
"DeVonta Smith","PHI","6.0","80.2","0.5","0.0","0.1","0.0","0.1","10.7"
"Garrett Wilson","NYJ","5.8","73.0","0.5","0.2","1.4","0.0","0.1","10.6"
"Rashee Rice","KC","6.3","74.6","0.5","0.2","1.0","0.0","0.1","10.5"
"Mike Evans","TB","4.9","72.8","0.5","0.0","0.1","0.0","0.0","10.3"
"Nico Collins","HOU","5.2","73.9","0.5","0.1","0.5","0.0","0.1","10.1"
"Jaylen Waddle","MIA","5.2","72.0","0.4","0.3","1.4","0.0","0.1","9.5"
"DJ Moore","CHI","5.3","70.8","0.4","0.2","1.1","0.0","0.1","9.4"
"Brandon Aiyuk","SF","4.6","68.0","0.4","0.0","0.1","0.0","0.1","9.3"
"Drake London","ATL","5.3","66.8","0.4","0.0","0.2","0.0","0.1","9.2"
"Malik Nabers","NYG","5.2","66.6","0.4","0.0","0.2","0.0","0.0","9.0"
"Stefon Diggs","HOU","5.1","64.1","0.4","0.3","1.2","0.0","0.1","9.0"
"Tank Dell","HOU","4.6","64.4","0.4","0.5","3.2","0.0","0.1","9.0"
"Chris Olave","NO","5.4","69.2","0.4","0.0","0.1","0.0","0.1","8.9"
"Marvin Harrison Jr.","ARI","4.9","65.7","0.4","0.0","0.1","0.0","0.0","8.9"
"Chris Godwin","TB","5.7","66.1","0.4","0.1","0.9","0.0","0.1","8.9"
"Davante Adams","LV","5.5","67.5","0.4","0.0","0.1","0.0","0.0","8.8"
"DK Metcalf","SEA","4.5","64.1","0.4","0.0","0.1","0.0","0.1","8.8"
"Zay Flowers","BAL","4.9","60.1","0.4","0.8","4.2","0.0","0.1","8.8"
"George Pickens","PIT","4.4","64.8","0.3","0.2","1.1","0.0","0.1","8.4"
"Xavier Worthy","KC","3.7","52.8","0.4","1.6","6.0","0.0","0.0","8.4"
"Jameson Williams","DET","3.8","56.4","0.4","0.5","3.5","0.0","0.1","8.3"
"Amari Cooper","CLE","4.4","61.5","0.4","0.0","0.1","0.0","0.1","8.3"
"Michael Pittman Jr.","IND","5.6","64.1","0.3","0.0","0.1","0.0","0.1","8.1"
"Calvin Ridley","TEN","4.5","57.9","0.4","0.1","0.9","0.0","0.1","8.0"
"Christian Kirk","JAC","4.9","61.1","0.3","0.0","0.3","0.0","0.1","7.9"
"Terry McLaurin","WAS","4.4","58.6","0.3","0.0","0.1","0.0","0.0","7.5"
"Ladd McConkey","LAC","4.3","53.5","0.3","0.0","0.2","0.0","0.0","7.2"
"Jayden Reed","GB","4.0","48.6","0.3","0.5","5.4","0.0","0.1","7.2"
"Keon Coleman","BUF","4.1","53.5","0.3","0.0","0.1","0.0","0.0","7.1"
"Courtland Sutton","DEN","4.1","54.5","0.3","0.0","0.1","0.0","0.1","7.1"
"Brian Thomas Jr.","JAC","4.4","53.9","0.3","0.0","0.2","0.0","0.0","7.1"
"Joshua Palmer","LAC","4.2","50.8","0.3","0.0","0.1","0.0","0.0","6.9"
"Tyler Lockett","SEA","4.5","51.7","0.3","0.0","0.1","0.0","0.1","6.9"
"Demarcus Robinson","LAR","3.9","49.5","0.3","0.0","0.2","0.0","0.0","6.8"
"Rashid Shaheed","NO","3.8","52.4","0.2","0.2","1.6","0.0","0.1","6.8"
"Jaxon Smith-Njigba","SEA","4.5","50.7","0.3","0.0","0.2","0.0","0.1","6.7"
"Rome Odunze","CHI","3.7","50.1","0.3","0.1","0.4","0.0","0.0","6.7"
"Diontae Johnson","CAR","4.1","51.3","0.3","0.0","0.4","0.0","0.1","6.6"
"Brandin Cooks","DAL","3.7","46.5","0.3","0.2","1.0","0.0","0.0","6.6"
"Gabe Davis","JAC","3.3","45.9","0.3","0.0","0.1","0.0","0.1","6.3"
"Khalil Shakir","BUF","3.6","45.4","0.3","0.0","0.1","0.0","0.0","6.1"
"Jerry Jeudy","CLE","3.7","46.2","0.3","0.0","0.3","0.0","0.1","6.0"
"DeAndre Hopkins","TEN","3.8","46.0","0.3","0.0","0.1","0.0","0.0","6.0"
