"Rank","Player","G","ATT","YDS","YBCON","YACON","BRKTKL","TK LOSS","TK LOSS YDS","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","REC","TGT","RZ TGT","YACON"
"60","Emari Demercado (ARI)","3","1","18","4","14","1","0","0","0","0","0","0","0","1","1","0","1"
"61","Cordarrelle Patterson (PIT)","3","3","16","5","12","0","0","0","1","0","0","0","0","1","2","0","1"
"62","Roschon Johnson (CHI)","1","8","30","19","11","0","1","-1","0","0","0","0","0","4","5","0","6"
"63","D'Onta Foreman (CLE)","3","5","16","9","7","0","0","0","0","0","0","0","0","0","0","0","0"
"64","Dare Ogunbowale (HOU)","3","1","1","1","0","0","0","0","0","0","0","0","0","2","2","0","2"
"65","Samaje Perine (KC)","3","2","8","4","4","0","0","0","0","0","0","0","0","2","2","0","6"
"66","Jeff Wilson Jr. (MIA)","3","3","13","6","8","0","0","0","1","0","0","0","0","1","1","0","1"
"67","Tyrone Tracy Jr. (NYG)","3","3","9","5","4","0","0","0","0","0","0","0","0","1","2","0","0"
"68","Trey Benson (ARI)","3","5","10","5","5","0","1","-2","0","0","0","0","0","1","1","0","2"
"69","D'Ernest Johnson (JAC)","2","4","19","10","10","0","0","0","1","0","0","0","0","0","1","1","0"
"70","Pierre Strong Jr. (CLE)","2","2","3","1","2","0","1","-3","0","0","0","0","0","2","3","0","8"
"71","Deuce Vaughn (DAL)","3","2","7","3","4","0","0","0","0","0","0","0","0","1","1","0","1"
"72","Kenneth Gainwell (PHI)","3","1","3","1","1","0","0","0","0","0","0","0","0","1","1","0","3"
"73","Blake Corum (LAR)","2","4","14","8","6","0","1","-1","0","0","0","0","0","0","0","0","0"
"74","Ronnie Rivers (LAR)","3","1","8","6","2","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Alec Ingold (MIA)","3","2","3","0","3","0","1","-1","0","0","0","0","0","1","1","0","1"
"76","Jaylen Wright (MIA)","2","4","11","5","6","0","2","-4","0","0","0","0","0","0","0","0","0"
"77","Isaac Guerendo (SF)","3","2","6","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Raheem Mostert (MIA)","1","6","9","2","7","0","2","-4","0","0","0","0","0","2","3","0","5"
"79","MarShawn Lloyd (GB)","1","6","15","12","3","0","0","0","0","0","0","0","0","1","1","0","2"
"80","Travis Homer (CHI)","2","2","8","6","2","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Dameon Pierce (HOU)","1","3","16","3","13","2","0","0","0","0","0","0","0","0","0","0","0"
"82","Ameer Abdullah (LV)","3","1","0","0","1","0","0","-1","0","0","0","0","0","1","1","0","2"
"83","Audric Estime (DEN)","1","2","14","13","1","0","0","0","1","0","0","0","0","0","0","0","0"
"84","Kenny McIntosh (SEA)","2","2","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Hassan Haskins (LAC)","1","3","11","4","7","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Jordan Mims (NO)","3","1","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Mike Boone (CAR)","1","4","7","2","5","1","0","0","0","0","0","0","0","0","0","0","0"
"88","JaMycal Hasty (NE)","3","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Isaiah Davis (NYJ)","1","3","6","0","6","0","1","-1","0","0","0","0","0","0","0","0","0"
"90","Sean Tucker (TB)","3","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Chris Brooks (GB)","1","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"92","J.J. Taylor (HOU)","1","1","3","2","1","0","0","0","0","0","0","0","0","2","2","0","0"
"93","British Brooks (HOU)","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Jeremy McNichols (WAS)","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Myles Gaskin (MIN)","2","1","-2","0","0","0","1","-2","0","0","0","0","0","0","0","0","0"
"96","Eric Gray (NYG)","3","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
""
""
