"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.2","53.1","0.4","0.0","7.9"
"Trey McBride","ARI","5.6","56.5","0.4","0.1","7.7"
"Brock Bowers","LV","5.1","54.7","0.3","0.1","7.4"
"Sam LaPorta","DET","4.9","51.0","0.4","0.0","7.2"
"Mark Andrews","BAL","4.2","50.3","0.4","0.0","7.1"
"Kyle Pitts","ATL","4.0","49.9","0.3","0.0","6.8"
"Dalton Kincaid","BUF","4.7","47.0","0.3","0.0","6.4"
"Dallas Goedert","PHI","4.4","46.1","0.3","0.0","6.1"
"Jake Ferguson","DAL","4.2","43.7","0.3","0.0","5.9"
"Hunter Henry","NE","3.6","38.0","0.3","0.0","5.3"
"Isaiah Likely","BAL","3.2","36.0","0.3","0.0","5.1"
"Colby Parkinson","LAR","3.5","37.4","0.2","0.0","4.9"
"Dalton Schultz","HOU","3.1","32.7","0.2","0.0","4.6"
"Mike Gesicki","CIN","3.1","32.2","0.2","0.0","4.4"
"Pat Freiermuth","PIT","3.4","33.0","0.2","0.0","4.4"
"Cole Kmet","CHI","3.3","31.2","0.2","0.0","4.2"
"Cade Otton","TB","2.8","27.8","0.2","0.0","4.1"
"Brenton Strange","JAC","3.2","31.0","0.2","0.0","4.1"
"Zach Ertz","WAS","3.2","30.0","0.2","0.0","4.1"
"Juwan Johnson","NO","2.4","27.0","0.2","0.0","4.1"
"Noah Fant","SEA","2.9","28.8","0.2","0.0","4.0"
"Tyler Conklin","NYJ","2.6","25.6","0.2","0.0","3.6"
"Greg Dulcich","DEN","2.7","27.4","0.1","0.0","3.5"
"Hayden Hurst","LAC","2.6","26.7","0.1","0.0","3.5"
"Foster Moreau","NO","2.1","23.1","0.2","0.0","3.5"
"Jonnu Smith","MIA","2.6","25.6","0.1","0.0","3.3"
"Eric Saubert","SF","2.0","22.3","0.2","0.0","3.1"
"Theo Johnson","NYG","2.5","24.0","0.1","0.0","3.0"
"Chig Okonkwo","TEN","2.0","22.7","0.1","0.0","3.0"
"Jordan Akins","CLE","2.3","21.1","0.1","0.0","2.9"
"Tucker Kraft","GB","2.1","22.0","0.1","0.0","2.9"
"Johnny Mundt","MIN","2.3","20.6","0.1","0.0","2.8"
"Erick All Jr.","CIN","1.8","17.0","0.1","0.0","2.5"
"Gerald Everett","CHI","1.9","18.4","0.1","0.0","2.5"
"Hunter Long","LAR","1.7","19.2","0.1","0.0","2.4"
"Will Dissly","LAC","1.8","17.5","0.1","0.0","2.3"
"Tommy Tremble","CAR","1.7","16.9","0.1","0.0","2.3"
"Jake Tonges","SF","1.4","14.8","0.1","0.0","2.1"
"Kylen Granson","IND","1.4","14.3","0.1","0.0","2.0"
"Dawson Knox","BUF","1.3","12.9","0.1","0.0","2.0"
