"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jordan Mason","SF","21.1","93.1","0.8","1.8","12.1","0.1","0.1","15.4"
"Breece Hall","NYJ","17.8","77.2","0.5","4.4","33.4","0.2","0.1","15.2"
"Bijan Robinson","ATL","17.4","77.4","0.5","4.2","32.6","0.2","0.1","15.0"
"Alvin Kamara","NO","16.1","72.2","0.5","4.2","32.8","0.2","0.1","14.9"
"De'Von Achane","MIA","15.5","74.9","0.5","4.0","30.2","0.2","0.1","14.6"
"Saquon Barkley","PHI","18.8","77.3","0.6","3.1","23.1","0.1","0.1","14.0"
"Jonathan Taylor","IND","19.6","85.6","0.6","1.6","13.1","0.1","0.1","13.7"
"Kyren Williams","LAR","18.5","75.6","0.5","2.7","20.7","0.1","0.1","13.3"
"Josh Jacobs","GB","20.3","82.2","0.5","2.2","15.4","0.1","0.1","13.0"
"Zach Charbonnet","SEA","16.8","68.4","0.5","3.3","23.3","0.1","0.1","12.5"
"James Conner","ARI","16.0","67.5","0.6","2.3","17.6","0.1","0.1","12.4"
"Jahmyr Gibbs","DET","11.4","54.4","0.5","3.9","27.9","0.2","0.1","12.2"
"James Cook","BUF","15.7","70.1","0.4","2.6","20.8","0.2","0.1","12.2"
"Rhamondre Stevenson","NE","17.1","72.6","0.4","2.7","19.2","0.1","0.1","12.2"
"Derrick Henry","BAL","17.0","71.6","0.6","1.2","10.4","0.0","0.1","12.1"
"Tony Pollard","TEN","15.5","67.9","0.4","2.6","18.7","0.1","0.1","11.5"
"Travis Etienne Jr.","JAC","13.9","58.5","0.4","3.2","23.2","0.1","0.1","11.2"
"Zack Moss","CIN","14.9","62.5","0.5","2.1","15.5","0.1","0.1","11.1"
"Aaron Jones","MIN","12.5","55.2","0.4","2.9","21.8","0.1","0.1","10.5"
"Rachaad White","TB","14.1","51.6","0.3","3.5","25.5","0.2","0.1","10.5"
"David Montgomery","DET","13.5","56.1","0.6","1.2","9.7","0.1","0.1","10.4"
"J.K. Dobbins","LAC","13.3","64.1","0.4","2.1","14.3","0.1","0.1","10.4"
"Jerome Ford","CLE","13.9","57.8","0.4","2.6","17.6","0.1","0.1","10.3"
"Devin Singletary","NYG","15.0","63.8","0.4","2.2","15.1","0.1","0.1","10.3"
"Najee Harris","PIT","15.7","63.2","0.4","1.4","9.3","0.1","0.1","10.1"
