"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Josh Downs","IND","3.0","33.6","0.2","0.0","0.4","0.0","0.0","4.5"
"Curtis Samuel","BUF","2.6","28.2","0.2","0.4","2.6","0.0","0.0","4.4"
"Andrei Iosivas","CIN","2.5","30.0","0.2","0.0","0.2","0.0","0.0","4.3"
"Jahan Dotson","PHI","2.5","32.0","0.2","0.0","0.2","0.0","0.0","4.3"
"Alec Pierce","IND","2.2","32.3","0.2","0.0","0.2","0.0","0.0","4.3"
"Jalen Tolbert","DAL","2.6","31.5","0.2","0.0","0.2","0.0","0.0","4.2"
"Tyler Boyd","TEN","3.1","32.9","0.2","0.0","0.2","0.0","0.1","4.2"
"DeMario Douglas","NE","2.6","31.9","0.1","0.3","1.5","0.0","0.0","4.1"
"Greg Dortch","ARI","2.9","29.6","0.2","0.1","0.9","0.0","0.0","4.1"
"Chris Conley","SF","2.1","29.3","0.2","0.0","0.3","0.0","0.0","4.1"
"Jalen McMillan","TB","2.4","28.5","0.2","0.0","0.3","0.0","0.0","4.1"
"Darius Slayton","NYG","2.4","32.0","0.1","0.0","0.1","0.0","0.0","4.0"
"K.J. Osborn","NE","2.5","30.1","0.1","0.0","0.1","0.0","0.0","3.9"
"Justin Watson","KC","2.0","27.5","0.2","0.0","0.0","0.0","0.0","3.9"
"Adonai Mitchell","IND","2.1","26.7","0.2","0.0","0.1","0.0","0.0","3.7"
"Ja'Lynn Polk","NE","2.3","26.8","0.1","0.3","1.3","0.0","0.0","3.6"
"DeAndre Carter","CHI","2.4","24.1","0.1","0.0","2.1","0.0","0.0","3.4"
"Jonathan Mingo","CAR","2.1","26.5","0.1","0.3","1.2","0.0","0.0","3.4"
"Dontayvion Wicks","GB","2.1","24.7","0.1","0.0","0.2","0.0","0.0","3.3"
"Lil'Jordan Humphrey","DEN","2.1","23.4","0.1","0.0","0.0","0.0","0.0","3.2"
"Van Jefferson","PIT","1.8","23.5","0.1","0.0","0.3","0.0","0.0","3.1"
"Brandon Powell","MIN","2.1","21.4","0.1","0.1","1.1","0.0","0.0","3.0"
"Mack Hollins","BUF","1.6","20.4","0.2","0.0","0.0","0.0","0.0","3.0"
"Dyami Brown","WAS","1.5","20.4","0.1","0.0","0.1","0.0","0.0","2.7"
"Noah Brown","WAS","1.4","19.4","0.1","0.0","0.1","0.0","0.0","2.5"
"Olamide Zaccheaus","WAS","1.5","18.4","0.1","0.0","0.2","0.0","0.0","2.4"
"Derius Davis","LAC","1.4","16.7","0.1","0.4","2.5","0.0","0.0","2.4"
"Marvin Mims Jr.","DEN","1.4","18.4","0.1","0.2","0.9","0.0","0.0","2.4"
"Tre Tucker","LV","1.4","16.6","0.1","0.1","1.2","0.0","0.0","2.4"
"Simi Fehoko","LAC","1.6","17.8","0.1","0.0","0.0","0.0","0.0","2.3"
"Trenton Irwin","CIN","1.3","15.8","0.1","0.0","0.0","0.0","0.0","2.3"
"Luke McCaffrey","WAS","1.5","17.0","0.1","0.0","0.3","0.0","0.0","2.2"
"Cedric Tillman","CLE","1.3","15.2","0.1","0.0","0.1","0.0","0.0","2.2"
"Tyquan Thornton","NE","1.2","15.8","0.1","0.0","0.3","0.0","0.0","2.1"
"Tim Patrick","DET","1.2","15.2","0.1","0.0","0.1","0.0","0.0","2.1"
"Nelson Agholor","BAL","1.1","14.7","0.1","0.0","0.1","0.0","0.0","2.1"
"Kalif Raymond","DET","1.1","13.5","0.1","0.1","1.6","0.0","0.0","2.0"
"Calvin Austin III","PIT","1.3","14.7","0.1","0.2","1.4","0.0","0.0","2.0"
"Cedrick Wilson Jr.","NO","1.1","13.1","0.1","0.0","0.1","0.0","0.0","2.0"
"Marquez Valdes-Scantling","BUF","0.9","13.7","0.1","0.0","0.1","0.0","0.0","2.0"
"Treylon Burks","TEN","1.0","12.6","0.1","0.2","1.4","0.0","0.0","1.8"
"Laviska Shenault Jr.","SEA","0.6","6.8","0.0","1.6","6.5","0.0","0.0","1.8"
"Braxton Berrios","MIA","1.4","12.4","0.1","0.0","0.3","0.0","0.0","1.7"
"Jacob Cowing","SF","0.9","10.8","0.1","0.0","1.0","0.0","0.0","1.6"
"Trey Palmer","TB","0.9","11.0","0.1","0.0","0.2","0.0","0.0","1.6"
"KaVontae Turpin","DAL","0.7","8.2","0.1","0.4","3.1","0.0","0.0","1.5"
"Ronnie Bell","SF","0.8","10.8","0.1","0.0","0.1","0.0","0.0","1.5"
"Mason Tipton","NO","0.8","9.8","0.1","0.0","0.0","0.0","0.0","1.5"
"Parker Washington","JAC","1.0","10.6","0.1","0.0","0.1","0.0","0.0","1.5"
"Troy Franklin","DEN","0.9","11.2","0.1","0.0","0.0","0.0","0.0","1.4"
"Trent Sherfield Sr.","MIN","0.9","10.6","0.1","0.0","0.0","0.0","0.0","1.4"
"Jake Bobo","SEA","0.9","9.9","0.1","0.0","0.1","0.0","0.0","1.4"
"Johnny Wilson","PHI","0.9","10.5","0.1","0.0","0.1","0.0","0.0","1.4"
"Tyler Scott","CHI","0.8","9.5","0.1","0.0","0.4","0.0","0.0","1.3"
"Jermaine Burton","CIN","0.7","8.0","0.1","0.0","0.1","0.0","0.0","1.2"
"Jalen Brooks","DAL","2.0","8.1","0.0","0.0","0.0","0.0","0.0","1.1"
"Jalin Hyatt","NYG","0.7","8.4","0.0","0.0","0.0","0.0","0.0","1.1"
"JuJu Smith-Schuster","KC","0.7","7.0","0.1","0.0","0.0","0.0","0.0","1.0"
"Brenden Rice","LAC","0.7","7.6","0.0","0.0","0.0","0.0","0.0","1.0"
"Ashton Dulin","IND","0.5","6.5","0.1","0.0","0.1","0.0","0.0","1.0"
"David Moore","CAR","0.5","6.9","0.0","0.0","0.1","0.0","0.0","0.9"
"Xavier Hutchinson","HOU","0.4","5.4","0.0","0.0","0.2","0.0","0.0","0.8"
"Malachi Corley","NYJ","0.5","5.2","0.0","0.0","0.1","0.0","0.0","0.8"
"DJ Turner","LV","0.3","3.2","0.0","0.3","1.7","0.0","0.0","0.7"
"Jamison Crowder","WAS","0.4","4.5","0.0","0.0","0.0","0.0","0.0","0.6"
"Parris Campbell","PHI","0.4","4.1","0.0","0.0","0.1","0.0","0.0","0.6"
