"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Jayden Reed (GB)","1","4","138","34.5","83","20.8","104","26.0","55","13.8","34","8.5","1","6","18.8%","4","0","0","3","3","2","1","1","70"
"2","Allen Lazard (NYJ)","1","6","89","14.8","60","10.0","91","15.2","29","4.8","7","1.2","0","9","31.0%","6","0","3","3","2","1","0","0","36"
"3","Jameson Williams (DET)","1","5","121","24.2","58","11.6","127","25.4","63","12.6","5","1.0","1","9","32.1%","5","0","1","3","3","2","1","1","52"
"4","Tyreek Hill (MIA)","1","7","130","18.6","46","6.6","143","20.4","84","12.0","13","1.9","1","12","33.3%","7","0","2","5","2","1","1","1","80"
"5","Xavier Worthy (KC)","1","2","47","23.5","24","12.0","37","18.5","23","11.5","1","0.5","0","3","11.1%","2","0","1","2","1","1","0","0","35"
"6","Alec Pierce (IND)","1","3","125","41.7","119","39.7","119","39.7","6","2.0","0","0.0","0","3","15.8%","3","0","0","2","2","2","2","2","60"
"7","Mike Evans (TB)","1","5","61","12.2","53","10.6","64","12.8","8","1.6","1","0.2","0","6","20.0%","5","0","3","3","1","0","0","0","24"
"8","Cooper Kupp (LAR)","1","14","110","7.9","69","4.9","153","10.9","41","2.9","21","1.5","1","21","43.8%","15","1","3","4","2","0","0","0","21"
"9","A.J. Brown (PHI)","1","5","119","23.8","54","10.8","108","21.6","65","13.0","7","1.4","0","10","34.5%","5","0","1","4","2","1","1","1","67"
"10","Stefon Diggs (HOU)","1","6","33","5.5","9","1.5","9","1.5","24","4.0","4","0.7","0","6","19.4%","6","0","3","2","0","0","0","0","10"
"11","Chris Godwin (TB)","1","8","83","10.4","35","4.4","35","4.4","48","6.0","14","1.8","0","8","26.7%","8","0","1","4","1","0","0","0","24"
"12","Deebo Samuel Sr. (SF)","1","5","54","10.8","19","3.8","85","17.0","35","7.0","21","4.2","1","9","31.0%","5","0","1","3","1","0","0","0","25"
"13","Rashid Shaheed (NO)","1","3","73","24.3","43","14.3","97","32.3","30","10.0","1","0.3","0","5","20.8%","3","0","0","2","1","1","1","1","59"
"14","Justin Jefferson (MIN)","1","4","59","14.8","40","10.0","63","15.8","19","4.8","4","1.0","0","6","26.1%","4","0","1","1","1","1","1","0","44"
"15","Nico Collins (HOU)","1","6","117","19.5","101","16.8","124","20.7","16","2.7","13","2.2","0","8","25.8%","7","1","0","4","1","1","1","1","55"
"16","Ashton Dulin (IND)","1","1","54","54.0","19","19.0","19","19.0","35","35.0","6","6.0","1","1","5.3%","1","0","0","1","1","1","1","1","54"
"17","Jaylen Waddle (MIA)","1","5","109","21.8","72","14.4","72","14.4","37","7.4","1","0.2","0","5","13.9%","5","0","0","4","2","1","1","1","63"
"18","Brian Thomas Jr. (JAC)","1","4","47","11.8","39","9.8","39","9.8","8","2.0","4","1.0","0","4","21.1%","4","0","1","2","0","0","0","0","18"
"19","Brandin Cooks (DAL)","1","4","40","10.0","35","8.8","79","19.8","5","1.3","0","0.0","0","7","22.6%","4","0","0","2","1","0","0","0","21"
"20","Rashee Rice (KC)","1","7","103","14.7","30","4.3","48","6.9","73","10.4","31","4.4","1","9","33.3%","7","0","0","5","1","1","0","0","33"
"21","Khalil Shakir (BUF)","1","3","42","14.0","12","4.0","12","4.0","30","10.0","16","5.3","1","3","13.0%","3","0","1","3","0","0","0","0","19"
"22","Ladd McConkey (LAC)","1","5","39","7.8","26","5.2","37","7.4","13","2.6","7","1.4","2","7","28.0%","5","0","2","2","0","0","0","0","11"
"23","Jalen McMillan (TB)","1","1","32","32.0","29","29.0","54","54.0","3","3.0","0","0.0","0","3","10.0%","2","1","0","1","1","1","0","0","32"
"24","CeeDee Lamb (DAL)","1","5","61","12.2","29","5.8","107","21.4","32","6.4","21","4.2","2","10","32.3%","6","1","0","2","1","1","0","0","34"
"25","Mack Hollins (BUF)","1","2","25","12.5","24","12.0","24","12.0","1","0.5","0","0.0","0","2","8.7%","2","0","1","2","0","0","0","0","14"
"26","Jerry Jeudy (CLE)","1","3","25","8.3","21","7.0","116","38.7","4","1.3","0","0.0","0","8","18.6%","3","0","2","1","0","0","0","0","15"
"27","DeVonta Smith (PHI)","1","7","84","12.0","33","4.7","64","9.1","51","7.3","19","2.7","0","8","27.6%","7","0","1","3","1","0","0","0","25"
"28","Jalen Nailor (MIN)","1","1","21","21.0","21","21.0","21","21.0","0","0.0","0","0.0","0","1","4.3%","1","0","0","1","1","0","0","0","21"
"29","Tyler Johnson (LAR)","1","5","79","15.8","14","2.8","31","6.2","65","13.0","62","12.4","0","7","14.6%","6","1","1","2","1","1","1","1","63"
"30","Tyler Lockett (SEA)","1","6","77","12.8","69","11.5","87","14.5","8","1.3","3","0.5","1","7","28.0%","6","0","0","4","0","0","0","0","19"
"31","George Pickens (PIT)","1","6","85","14.2","79","13.2","99","16.5","6","1.0","-1","-0.2","0","7","31.8%","6","0","0","3","2","2","1","0","40"
"32","Christian Watson (GB)","1","3","13","4.3","10","3.3","53","17.7","3","1.0","1","0.3","0","5","15.6%","3","0","2","0","0","0","0","0","6"
"33","Malik Nabers (NYG)","1","5","66","13.2","44","8.8","49","9.8","22","4.4","4","0.8","0","7","18.4%","6","1","0","2","2","0","0","0","25"
"34","Michael Wilson (ARI)","1","1","5","5.0","5","5.0","30","30.0","0","0.0","0","0.0","0","2","6.5%","2","1","1","0","0","0","0","0","5"
"35","Jauan Jennings (SF)","1","5","64","12.8","54","10.8","54","10.8","10","2.0","8","1.6","0","5","17.2%","5","0","1","3","1","0","0","0","22"
"36","Jakobi Meyers (LV)","1","3","61","20.3","41","13.7","41","13.7","20","6.7","7","2.3","0","3","9.4%","3","0","0","2","1","1","0","0","33"
"37","Gabe Davis (JAC)","1","3","62","20.7","48","16.0","48","16.0","14","4.7","3","1.0","0","3","15.8%","3","0","0","3","3","0","0","0","22"
"38","Ja'Marr Chase (CIN)","1","6","62","10.3","38","6.3","38","6.3","24","4.0","2","0.3","0","6","20.7%","6","0","0","2","1","0","0","0","28"
"39","Garrett Wilson (NYJ)","1","6","60","10.0","33","5.5","100","16.7","27","4.5","11","1.8","0","11","37.9%","6","1","3","2","0","0","0","0","16"
"40","KaVontae Turpin (DAL)","1","0","0","0.0","0","0.0","14","0.0","0","0.0","0","0.0","0","1","3.2%","0","1","0","0","0","0","0","0","0"
"41","Tank Dell (HOU)","1","3","40","13.3","32","10.7","105","35.0","8","2.7","3","1.0","0","7","22.6%","3","0","1","2","1","0","0","0","23"
"42","Davante Adams (LV)","1","5","59","11.8","35","7.0","58","11.6","24","4.8","8","1.6","0","6","18.8%","5","0","0","3","1","0","0","0","23"
"43","Wan'Dale Robinson (NYG)","1","6","44","7.3","38","6.3","61","10.2","6","1.0","4","0.7","1","12","31.6%","6","0","3","2","0","0","0","0","15"
"44","Rashod Bateman (BAL)","1","2","53","26.5","48","24.0","120","60.0","5","2.5","0","0.0","0","5","12.5%","2","0","0","2","1","1","0","0","38"
"45","Ray-Ray McCloud III (ATL)","1","4","52","13.0","44","11.0","65","16.3","8","2.0","6","1.5","0","7","30.4%","4","0","0","2","1","0","0","0","20"
"46","Keon Coleman (BUF)","1","4","51","12.8","40","10.0","46","11.5","11","2.8","0","0.0","0","5","21.7%","4","0","1","2","1","0","0","0","28"
"47","Greg Dortch (ARI)","1","6","47","7.8","29","4.8","71","11.8","18","3.0","6","1.0","1","8","25.8%","7","1","1","2","0","0","0","0","14"
"48","Zay Flowers (BAL)","1","6","37","6.2","9","1.5","58","9.7","28","4.7","4","0.7","0","10","25.0%","6","0","2","1","0","0","0","0","19"
