"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"49","Calvin Ridley (TEN)","1","3","50","16.7","41","13.7","160","53.3","9","3.0","4","1.3","0","7","25.9%","3","0","0","2","2","0","0","0","22"
"50","Romeo Doubs (GB)","1","4","50","12.5","36","9.0","60","15.0","14","3.5","2","0.5","0","7","21.9%","5","1","2","3","0","0","0","0","19"
"51","DJ Moore (CHI)","1","5","36","7.2","24","4.8","53","10.6","12","2.4","5","1.0","1","8","27.6%","5","0","0","3","0","0","0","0","13"
"52","Adam Thielen (CAR)","1","3","49","16.3","31","10.3","64","21.3","18","6.0","2","0.7","0","4","13.8%","3","0","0","2","1","1","0","0","32"
"53","Josh Reynolds (DEN)","1","5","45","9.0","37","7.4","73","14.6","8","1.6","6","1.2","0","8","19.0%","5","0","1","1","1","0","0","0","25"
"54","Puka Nacua (LAR)","1","4","35","8.8","18","4.5","18","4.5","17","4.3","10","2.5","0","4","8.3%","4","0","0","1","0","0","0","0","16"
"55","Demarcus Robinson (LAR)","1","4","42","10.5","34","8.5","77","19.3","8","2.0","2","0.5","0","7","14.6%","4","0","1","2","0","0","0","0","14"
"56","Devaughn Vele (DEN)","1","8","39","4.9","17","2.1","17","2.1","22","2.8","12","1.5","0","8","19.0%","8","0","0","0","0","0","0","0","9"
"57","Quentin Johnston (LAC)","1","3","38","12.7","10","3.3","54","18.0","28","9.3","19","6.3","2","5","20.0%","4","1","0","2","0","0","0","0","16"
"58","Courtland Sutton (DEN)","1","4","38","9.5","32","8.0","165","41.3","6","1.5","1","0.3","0","12","28.6%","4","0","2","2","0","0","0","0","17"
"59","Xavier Legette (CAR)","1","4","35","8.8","30","7.5","112","28.0","5","1.3","0","0.0","0","7","24.1%","4","0","1","1","0","0","0","0","18"
"60","Jordan Addison (MIN)","1","3","35","11.7","35","11.7","47","15.7","0","0.0","0","0.0","0","4","17.4%","3","0","1","2","0","0","0","0","16"
"61","Michael Pittman Jr. (IND)","1","4","31","7.8","24","6.0","74","18.5","7","1.8","4","1.0","0","8","42.1%","4","0","0","1","0","0","0","0","13"
"62","Christian Kirk (JAC)","1","1","30","30.0","24","24.0","57","57.0","6","6.0","0","0.0","0","4","21.1%","1","0","0","1","1","1","0","0","30"
"63","Keenan Allen (CHI)","1","4","29","7.3","14","3.5","73","18.3","15","3.8","5","1.3","0","11","37.9%","5","1","2","0","0","0","0","0","9"
"64","DK Metcalf (SEA)","1","3","29","9.7","24","8.0","52","17.3","5","1.7","3","1.0","0","4","16.0%","3","0","0","2","0","0","0","0","12"
"65","Brandon Aiyuk (SF)","1","2","28","14.0","27","13.5","59","29.5","1","0.5","0","0.0","0","5","17.2%","3","1","2","2","0","0","0","0","14"
"66","Tyquan Thornton (NE)","1","2","27","13.5","24","12.0","57","28.5","3","1.5","0","0.0","0","3","13.0%","2","0","0","2","0","0","0","0","17"
"67","Andrei Iosivas (CIN)","1","3","26","8.7","23","7.7","45","15.0","3","1.0","0","0.0","0","6","20.7%","3","0","0","2","0","0","0","0","13"
"68","Darius Slayton (NYG)","1","3","26","8.7","23","7.7","34","11.3","3","1.0","0","0.0","0","4","10.5%","3","0","1","1","0","0","0","0","11"
"69","Justin Watson (KC)","1","1","25","25.0","15","15.0","15","15.0","10","10.0","1","1.0","0","1","3.7%","1","0","0","1","1","0","0","0","25"
"70","Jonathan Mingo (CAR)","1","2","40","20.0","24","12.0","37","18.5","16","8.0","3","1.5","0","5","17.2%","3","1","0","1","1","1","0","0","35"
"71","Tre Tucker (LV)","1","2","22","11.0","11","5.5","23","11.5","11","5.5","8","4.0","1","3","9.4%","2","0","0","1","0","0","0","0","14"
"72","K.J. Osborn (NE)","1","3","21","7.0","16","5.3","28","9.3","5","1.7","0","0.0","0","6","26.1%","3","0","2","0","0","0","0","0","9"
"73","Jaxon Smith-Njigba (SEA)","1","2","19","9.5","6","3.0","6","3.0","13","6.5","2","1.0","0","2","8.0%","2","0","0","1","0","0","0","0","10"
"74","Trey Palmer (TB)","1","1","19","19.0","18","18.0","26","26.0","1","1.0","0","0.0","0","2","6.7%","1","0","0","1","0","0","0","0","19"
"75","Marquez Valdes-Scantling (BUF)","1","1","19","19.0","14","14.0","55","55.0","5","5.0","0","0.0","0","2","8.7%","1","0","0","1","0","0","0","0","19"
"76","Diontae Johnson (CAR)","1","2","19","9.5","15","7.5","63","31.5","4","2.0","1","0.5","0","6","20.7%","2","0","2","1","0","0","0","0","11"
"77","Luke McCaffrey (WAS)","1","3","18","6.0","-2","-0.7","-2","-0.7","20","6.7","3","1.0","0","3","12.5%","3","0","1","1","0","0","0","0","10"
"78","Jalen Brooks (DAL)","1","1","18","18.0","9","9.0","9","9.0","9","9.0","4","4.0","1","1","3.2%","1","0","0","1","0","0","0","0","18"
"79","Tyler Boyd (TEN)","1","3","18","6.0","11","3.7","43","14.3","7","2.3","2","0.7","0","5","18.5%","3","0","0","1","0","0","0","0","11"
"80","Terry McLaurin (WAS)","1","2","17","8.5","3","1.5","80","40.0","14","7.0","6","3.0","0","4","16.7%","2","0","0","1","0","0","0","0","11"
"81","Amari Cooper (CLE)","1","2","16","8.0","11","5.5","170","85.0","5","2.5","1","0.5","0","9","20.9%","3","1","2","1","0","0","0","0","10"
"82","Joshua Palmer (LAC)","1","2","15","7.5","15","7.5","39","19.5","0","0.0","0","0.0","0","4","16.0%","3","1","2","1","0","0","0","0","11"
"83","Curtis Samuel (BUF)","1","2","15","7.5","3","1.5","3","1.5","12","6.0","3","1.5","0","2","8.7%","2","0","0","0","0","0","0","0","8"
"84","Darnell Mooney (ATL)","1","1","15","15.0","12","12.0","40","40.0","3","3.0","2","2.0","0","3","13.0%","1","0","0","1","0","0","0","0","15"
"85","Drake London (ATL)","1","2","15","7.5","12","6.0","23","11.5","3","1.5","2","1.0","0","3","13.0%","2","0","1","0","0","0","0","0","8"
"86","Olamide Zaccheaus (WAS)","1","1","15","15.0","13","13.0","28","28.0","2","2.0","0","0.0","0","3","12.5%","2","1","0","1","0","0","0","0","15"
"87","David Moore (CAR)","1","1","14","14.0","14","14.0","36","36.0","0","0.0","0","0.0","0","3","10.3%","1","0","1","1","0","0","0","0","14"
"88","Amon-Ra St. Brown (DET)","1","3","13","4.3","6","2.0","27","9.0","7","2.3","5","1.7","1","6","21.4%","5","2","2","0","0","0","0","0","5"
"89","Jalen Tolbert (DAL)","1","1","12","12.0","12","12.0","15","15.0","0","0.0","0","0.0","0","2","6.5%","1","0","0","1","0","0","0","0","12"
"90","Kalif Raymond (DET)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"91","DeMario Douglas (NE)","1","2","12","6.0","10","5.0","18","9.0","2","1.0","0","0.0","0","3","13.0%","2","0","0","0","0","0","0","0","9"
"92","Chris Olave (NO)","1","2","11","5.5","12","6.0","12","6.0","-1","-0.5","0","0.0","0","2","8.3%","2","0","0","1","0","0","0","0","17"
"93","Rome Odunze (CHI)","1","1","11","11.0","9","9.0","22","22.0","2","2.0","0","0.0","0","4","13.8%","1","0","0","1","0","0","0","0","11"
"94","Elijah Moore (CLE)","1","3","9","3.0","4","1.3","22","7.3","5","1.7","2","0.7","0","6","14.0%","4","2","0","0","0","0","0","0","4"
"95","Derius Davis (LAC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"96","DJ Turner (LV)","1","1","9","9.0","-2","-2.0","-2","-2.0","11","11.0","4","4.0","1","1","3.1%","1","0","0","0","0","0","0","0","9"
"97","DeAndre Hopkins (TEN)","1","1","8","8.0","6","6.0","6","6.0","2","2.0","0","0.0","0","1","3.7%","1","0","0","0","0","0","0","0","8"
"98","Calvin Austin III (PIT)","1","1","7","7.0","7","7.0","11","11.0","0","0.0","0","0.0","0","2","9.1%","1","0","0","0","0","0","0","0","7"
"99","Mason Tipton (NO)","1","1","6","6.0","5","5.0","5","5.0","1","1.0","0","0.0","0","1","4.2%","1","0","0","0","0","0","0","0","6"
"100","Nelson Agholor (BAL)","1","1","6","6.0","6","6.0","6","6.0","0","0.0","0","0.0","0","1","2.5%","1","0","0","0","0","0","0","0","6"
"101","Ja'Lynn Polk (NE)","1","1","6","6.0","6","6.0","6","6.0","0","0.0","0","0.0","0","1","4.3%","1","0","0","0","0","0","0","0","6"
"102","DeAndre Carter (CHI)","1","1","6","6.0","6","6.0","41","41.0","0","0.0","0","0.0","0","2","6.9%","1","0","0","0","0","0","0","0","6"
"103","Trenton Irwin (CIN)","1","1","6","6.0","2","2.0","23","23.0","4","4.0","0","0.0","0","2","6.9%","1","0","0","0","0","0","0","0","6"
"104","Jamison Crowder (WAS)","1","1","5","5.0","-3","-3.0","-3","-3.0","8","8.0","5","5.0","0","1","4.2%","1","0","0","0","0","0","0","0","5"
"105","Marvin Harrison Jr. (ARI)","1","1","4","4.0","4","4.0","31","31.0","0","0.0","0","0.0","0","3","9.7%","2","1","0","0","0","0","0","0","4"
"106","Devin Duvernay (JAC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"107","Treylon Burks (TEN)","1","1","2","2.0","3","3.0","6","6.0","-1","-1.0","0","0.0","1","2","7.4%","2","1","0","0","0","0","0","0","2"
"108","Parker Washington (JAC)","1","1","3","3.0","-2","-2.0","-2","-2.0","5","5.0","3","3.0","1","1","5.3%","1","0","0","0","0","0","0","0","3"
"109","Xavier Hutchinson (HOU)","1","1","3","3.0","3","3.0","3","3.0","0","0.0","0","0.0","0","1","3.2%","1","0","0","0","0","0","0","0","3"
"110","Cedric Tillman (CLE)","1","1","3","3.0","3","3.0","3","3.0","0","0.0","0","0.0","0","1","2.3%","1","0","0","0","0","0","0","0","3"
"111","Adonai Mitchell (IND)","1","1","2","2.0","-1","-1.0","82","82.0","3","3.0","2","2.0","0","5","26.3%","1","0","0","0","0","0","0","0","2"
"112","Van Jefferson (PIT)","1","1","1","1.0","-4","-4.0","2","2.0","5","5.0","1","1.0","0","2","9.1%","1","0","1","0","0","0","0","0","1"
"113","Laviska Shenault Jr. (SEA)","1","1","0","0.0","-3","-3.0","-3","-3.0","3","3.0","0","0.0","0","1","4.0%","1","0","0","0","0","0","0","0","0"
"114","Xavier Gipson (NYJ)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"115","Trent Sherfield Sr. (MIN)","1","0","0","0.0","0","0.0","17","0.0","0","0.0","0","0.0","0","1","4.3%","0","0","0","0","0","0","0","0","0"
"116","Brandon Powell (MIN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"117","Braxton Berrios (MIA)","1","0","0","0.0","0","0.0","13","0.0","0","0.0","0","0.0","0","2","5.6%","0","0","0","0","0","0","0","0","0"
"118","Robert Woods (HOU)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"119","Jake Bobo (SEA)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"120","Zach Pascal (ARI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"121","JuJu Smith-Schuster (KC)","1","0","0","0.0","0","0.0","13","0.0","0","0.0","0","0.0","0","1","3.7%","0","0","1","0","0","0","0","0","0"
"122","Mike Williams (NYJ)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"123","Robbie Chosen (FA)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"124","Chris Moore (ARI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"125","KhaDarel Hodge (ATL)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"126","Malachi Corley (NYJ)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"127","Chris Conley (SF)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"128","Jaelon Darden (CLE)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"129","Jahan Dotson (PHI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","1","3.4%","0","0","1","0","0","0","0","0","0"
"130","Marvin Mims Jr. (DEN)","1","0","0","0.0","0","0.0","11","0.0","0","0.0","0","0.0","0","1","2.4%","0","0","0","0","0","0","0","0","0"
"131","Bub Means (NO)","1","0","0","0.0","0","0.0","8","0.0","0","0.0","0","0.0","0","1","4.2%","0","0","0","0","0","0","0","0","0"
"132","Jha'Quan Jackson (TEN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"133","Anthony Gould (IND)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"134","Jermaine Burton (CIN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"135","Tutu Atwell (LAR)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"136","Mecole Hardman Jr. (KC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"137","Simi Fehoko (LAC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"138","Bo Melton (GB)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"139","Nick Westbrook-Ikhine (TEN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"140","Tim Jones (JAC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"141","Tylan Wallace (BAL)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"142","Tom Kennedy (DET)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"143","Steven Sims Jr. (HOU)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"144","Deonte Harty (BAL)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"145","Jordan Whittington (LAR)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"146","Scotty Miller (PIT)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"147","Skyy Moore (KC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"148","Quinton Bell (MIA)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"149","Johnny Wilson (PHI)","1","0","0","0.0","0","0.0","31","0.0","0","0.0","0","0.0","0","1","3.4%","0","0","0","0","0","0","0","0","0"
"150","Britain Covey (PHI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"151","Dontayvion Wicks (GB)","1","0","0","0.0","0","0.0","39","0.0","0","0.0","0","0.0","0","3","9.4%","0","2","0","0","0","0","0","0","0"
"152","Kameron Johnson (TB)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"153","Dareke Young (SEA)","1","0","0","0.0","0","0.0","9","0.0","0","0.0","0","0.0","0","1","4.0%","0","0","0","0","0","0","0","0","0"
"154","Lil'Jordan Humphrey (DEN)","1","0","0","0.0","0","0.0","5","0.0","0","0.0","0","0.0","0","1","2.4%","0","1","0","0","0","0","0","0","0"
"155","Jalin Hyatt (NYG)","1","0","0","0.0","0","0.0","18","0.0","0","0.0","0","0.0","0","1","2.6%","0","1","0","0","0","0","0","0","0"
"156","Dyami Brown (WAS)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"157","Jacob Cowing (SF)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"158","Ronnie Bell (SF)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"159","Velus Jones Jr. (CHI)","1","1","8","8.0","-5","-5.0","-5","-5.0","13","13.0","2","2.0","0","1","3.4%","1","0","0","0","0","0","0","0","8"
"160","Charlie Jones (CIN)","1","1","5","5.0","5","5.0","5","5.0","0","0.0","0","0.0","0","1","3.4%","1","0","0","0","0","0","0","0","5"
"161","Cedrick Wilson Jr. (NO)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"162","Dee Williams (SEA)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"163","Tyler Scott (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"164","Xavier Smith (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"165","Josh Downs (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"166","Erik Ezukanma (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"167","Kayshon Boutte (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"168","Dee Eskridge (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"169","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"170","Tee Higgins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"171","Sterling Shepard (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"172","Allen Robinson II (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"173","Grant DuBose (MIA)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"174","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"175","Noah Brown (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"176","Irvin Charles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
