"Player","Team","REC","YDS","TDS","FL","FPTS"
"Foster Moreau","NO","1.1","11.7","0.1","0.0","1.7"
"Durham Smythe","MIA","1.3","12.5","0.1","0.0","1.7"
"Noah Gray","KC","1.2","12.4","0.1","0.0","1.7"
"Davis Allen","LAR","1.1","11.8","0.1","0.0","1.6"
"Tommy Tremble","CAR","0.7","6.5","0.2","0.0","1.6"
"Brock Wright","DET","0.9","9.3","0.1","0.0","1.5"
"Austin Hooper","NE","1.2","12.4","0.1","0.0","1.5"
"Lucas Krull","DEN","1.1","9.9","0.1","0.0","1.5"
"Josh Whyle","TEN","0.9","8.9","0.1","0.0","1.4"
"Jordan Matthews","CAR","1.0","10.2","0.1","0.0","1.4"
"Drew Ogletree","IND","0.7","8.4","0.1","0.0","1.2"
"Darnell Washington","PIT","1.1","10.0","0.0","0.0","1.2"
"Elijah Higgins","ARI","0.9","9.1","0.1","0.0","1.2"
"Cade Stover","HOU","0.7","7.5","0.1","0.0","1.2"
"AJ Barner","SEA","0.7","7.5","0.1","0.0","1.2"
"Luke Schoonmaker","DAL","0.7","6.9","0.1","0.0","1.1"
"Stone Smartt","LAC","0.6","6.7","0.1","0.0","1.1"
"Erick All Jr.","CIN","0.6","5.8","0.1","0.0","1.0"
"Jeremy Ruckert","NYJ","0.8","7.8","0.0","0.0","1.0"
"Connor Heyward","PIT","0.8","6.9","0.0","0.0","1.0"
"Jordan Akins","CLE","0.7","6.7","0.0","0.0","0.9"
"Ian Thomas","CAR","0.6","6.1","0.1","0.0","0.9"
"Drew Sample","CIN","0.6","5.7","0.1","0.0","0.9"
"Payne Durham","TB","0.5","5.7","0.1","0.0","0.9"
"Jaheim Bell","NE","0.6","6.6","0.0","0.0","0.9"
"John Bates","WAS","0.6","5.6","0.0","0.0","0.8"
"Brenton Strange","JAC","0.5","5.0","0.1","0.0","0.8"
"Pharaoh Brown","SEA","0.3","4.8","0.1","0.0","0.8"
"Jared Wiley","KC","0.6","5.6","0.0","0.0","0.7"
"Ross Dwelley","ATL","0.3","4.0","0.1","0.0","0.7"
"Devin Culp","TB","0.4","3.7","0.1","0.0","0.7"
"Harrison Bryant","LV","0.4","3.8","0.0","0.0","0.7"
