"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Breece Hall","NYJ","15.9","69.3","0.4","4.1","31.9","0.2","0.1","13.9"
"Bijan Robinson","ATL","15.3","68.8","0.4","4.0","33.3","0.2","0.1","13.8"
"Saquon Barkley","PHI","16.7","71.8","0.6","2.9","21.7","0.2","0.1","13.7"
"Jonathan Taylor","IND","17.8","78.2","0.6","2.3","17.7","0.1","0.1","13.5"
"Jahmyr Gibbs","DET","12.2","58.3","0.6","3.6","26.2","0.2","0.1","12.7"
"Kenneth Walker III","SEA","16.8","71.9","0.6","1.9","14.1","0.1","0.1","12.6"
"Kyren Williams","LAR","15.2","68.2","0.6","2.4","17.6","0.1","0.1","12.6"
"Josh Jacobs","GB","16.8","71.9","0.5","2.6","20.1","0.1","0.1","12.6"
"Rachaad White","TB","16.6","63.3","0.5","3.3","26.5","0.2","0.1","12.4"
"Derrick Henry","BAL","16.9","75.1","0.6","1.6","11.9","0.0","0.1","12.3"
"Alvin Kamara","NO","14.6","58.7","0.4","4.4","30.9","0.2","0.1","12.1"
"Joe Mixon","HOU","16.3","65.0","0.5","2.6","20.2","0.1","0.1","12.1"
"James Cook","BUF","14.7","68.4","0.3","3.0","24.1","0.2","0.1","12.0"
"De'Von Achane","MIA","11.2","57.8","0.5","3.1","23.5","0.2","0.1","11.9"
"Travis Etienne Jr.","JAC","15.7","61.9","0.5","2.9","23.0","0.1","0.1","11.6"
"David Montgomery","DET","13.2","57.8","0.7","1.5","10.5","0.1","0.1","11.0"
"Aaron Jones","MIN","12.8","59.7","0.3","2.6","19.6","0.1","0.1","10.5"
"James Conner","ARI","13.0","59.1","0.4","2.3","15.9","0.1","0.1","10.4"
"Jerome Ford","CLE","14.0","55.2","0.4","2.5","19.0","0.1","0.1","10.3"
"Raheem Mostert","MIA","11.6","53.6","0.5","1.9","12.8","0.1","0.0","10.2"
"Rhamondre Stevenson","NE","13.9","56.3","0.3","2.7","19.4","0.1","0.1","9.8"
"Najee Harris","PIT","14.4","57.4","0.4","1.8","11.4","0.1","0.1","9.7"
"Zamir White","LV","14.5","60.3","0.4","1.9","13.6","0.0","0.1","9.6"
"Devin Singletary","NYG","14.1","57.9","0.4","2.2","13.8","0.1","0.1","9.5"
"Chuba Hubbard","CAR","14.9","57.5","0.4","2.0","14.7","0.0","0.1","9.4"
"D'Andre Swift","CHI","12.6","53.8","0.3","2.4","16.4","0.1","0.1","9.3"
"Javonte Williams","DEN","13.1","53.3","0.3","2.5","16.3","0.1","0.1","9.1"
"Tony Pollard","TEN","12.4","51.7","0.3","2.1","15.0","0.1","0.1","8.8"
"Zack Moss","CIN","11.7","46.9","0.4","1.9","13.5","0.1","0.0","8.8"
"Gus Edwards","LAC","12.6","53.7","0.4","1.0","7.6","0.0","0.1","8.8"
"Brian Robinson Jr.","WAS","12.6","50.5","0.3","1.7","13.8","0.1","0.1","8.7"
"J.K. Dobbins","LAC","10.7","42.5","0.3","1.7","13.0","0.1","0.0","8.0"
"Jordan Mason","SF","8.8","44.7","0.4","1.0","7.0","0.1","0.0","7.7"
