"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"35","Luke Farrell (JAC)","1","2","13","6.5","7","3.5","7","3.5","6","3.0","0","0.0","0","2","7.4%","2","0","0","0","0","0","0","0","7"
"36","Colby Parkinson (LAR)","1","1","12","12.0","6","6.0","15","15.0","6","6.0","2","2.0","0","2","7.4%","2","1","1","1","0","0","0","0","12"
"37","Drew Ogletree (IND)","1","1","12","12.0","7","7.0","26","26.0","5","5.0","4","4.0","0","2","6.5%","1","0","0","1","0","0","0","0","12"
"38","Johnny Mundt (MIN)","1","2","12","6.0","6","3.0","7","3.5","6","3.0","0","0.0","0","3","12.5%","2","0","0","0","0","0","0","0","6"
"39","Michael Mayer (LV)","1","1","11","11.0","6","6.0","6","6.0","5","5.0","2","2.0","0","1","2.8%","1","0","0","1","0","0","0","0","11"
"40","Jordan Akins (CLE)","1","1","10","10.0","-4","-4.0","-4","-4.0","14","14.0","0","0.0","0","1","3.0%","1","0","0","1","0","0","0","0","10"
"41","Tyler Conklin (NYJ)","1","1","10","10.0","5","5.0","1","1.0","5","5.0","1","1.0","0","2","6.9%","1","0","0","1","0","0","0","0","10"
"42","Kylen Granson (IND)","1","1","9","9.0","2","2.0","12","12.0","7","7.0","1","1.0","0","2","6.5%","1","0","1","0","0","0","0","0","9"
"43","Ja'Tavion Sanders (CAR)","1","2","8","4.0","3","1.5","3","1.5","5","2.5","1","0.5","0","2","7.7%","2","0","0","0","0","0","0","0","6"
"44","Durham Smythe (MIA)","1","1","8","8.0","4","4.0","4","4.0","4","4.0","0","0.0","0","1","2.7%","1","0","1","0","0","0","0","0","8"
"45","Jared Wiley (KC)","1","1","7","7.0","4","4.0","4","4.0","3","3.0","0","0.0","0","1","4.3%","1","0","0","0","0","0","0","0","7"
"46","Luke Musgrave (GB)","1","1","6","6.0","-1","-1.0","-1","-1.0","7","7.0","0","0.0","0","1","7.7%","1","0","0","0","0","0","0","0","6"
"47","Travis Kelce (KC)","1","1","5","5.0","5","5.0","21","21.0","0","0.0","0","0.0","0","3","13.0%","1","0","1","0","0","0","0","0","5"
"48","Austin Hooper (NE)","1","1","5","5.0","3","3.0","3","3.0","2","2.0","2","2.0","0","1","4.2%","1","0","0","0","0","0","0","0","5"
"49","John Bates (WAS)","1","1","5","5.0","5","5.0","5","5.0","0","0.0","0","0.0","0","1","3.4%","1","0","0","0","0","0","0","0","5"
"50","Hayden Hurst (LAC)","1","1","5","5.0","3","3.0","6","6.0","2","2.0","0","0.0","0","2","10.5%","1","0","0","0","0","0","0","0","5"
"51","Brevin Jordan (HOU)","1","1","4","4.0","3","3.0","3","3.0","1","1.0","0","0.0","0","1","2.9%","1","0","0","0","0","0","0","0","4"
"52","Charlie Kolar (BAL)","1","1","4","4.0","4","4.0","4","4.0","0","0.0","0","0.0","0","1","3.2%","1","0","0","0","0","0","0","0","4"
"53","Gerald Everett (CHI)","1","2","1","0.5","-4","-2.0","1","0.5","5","2.5","0","0.0","0","3","8.8%","3","1","0","0","0","0","0","0","2"
"54","E.J. Jenkins (PHI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"55","Jack Stoll (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"56","Jake Tonges (SF)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"57","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"58","Tip Reiman (ARI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"59","Jaheim Bell (NE)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"60","Colson Yankoff (WAS)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"61","Geoff Swaim (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"62","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"63","AJ Barner (SEA)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"64","Ben Sims (GB)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"65","Payne Durham (TB)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"66","Julian Hill (MIA)","1","0","0","0.0","0","0.0","38","0.0","0","0.0","0","0.0","0","2","5.4%","0","1","2","0","0","0","0","0","0"
"67","Ben Sinnott (WAS)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"68","Josiah Deguara (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"69","Brady Russell (SEA)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"70","Brevyn Spann-Ford (DAL)","1","0","0","0.0","0","0.0","6","0.0","0","0.0","0","0.0","0","1","2.4%","0","0","1","0","0","0","0","0","0"
"71","Blake Whiteheart (CLE)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"72","Pharaoh Brown (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"73","Robert Tonyan (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"74","Brenden Bates (NYJ)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"75","Nate Adkins (DEN)","1","0","0","0.0","0","0.0","23","0.0","0","0.0","0","0.0","0","1","3.0%","0","0","0","0","0","0","0","0","0"
"76","Peyton Hendershot (KC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"77","Marcedes Lewis (CHI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"78","Stone Smartt (LAC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"79","Harrison Bryant (LV)","1","0","0","0.0","0","0.0","18","0.0","0","0.0","0","0.0","0","1","2.8%","0","0","0","0","0","0","0","0","0"
"80","Jordan Matthews (CAR)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"81","MyCole Pruitt (PIT)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"82","Chris Manhertz (NYG)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"83","Eric Tomlinson (LAC)","1","0","0","0.0","0","0.0","4","0.0","0","0.0","0","0.0","0","1","5.3%","0","0","0","0","0","0","0","0","0"
"84","Nick Vannett (TEN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"85","David Njoku (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"86","Evan Engram (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"87","Anthony Firkser (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"88","Tanner Hudson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"89","Ross Dwelley (ATL)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"90","Foster Moreau (NO)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"91","Josh Oliver (MIN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"92","Dawson Knox (BUF)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"93","Parker Hesse (DET)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"94","Adam Trautman (DEN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"95","Ko Kieft (TB)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"96","Daniel Bellinger (NYG)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"97","Juwan Johnson (NO)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"98","Charlie Woerner (ATL)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"99","Connor Heyward (PIT)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"100","Hunter Long (LAR)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"101","Quintin Morris (BUF)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"102","Theo Johnson (NYG)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"103","Noah Gray (KC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"104","Brock Wright (DET)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"105","Jeremy Ruckert (NYJ)","1","0","0","0.0","0","0.0","12","0.0","0","0.0","0","0.0","0","3","10.3%","0","0","1","0","0","0","0","0","0"
"106","Nick Muse (MIN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"107","Tanner Conner (MIA)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"108","Cade Otton (TB)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","2","10.5%","0","0","1","0","0","0","0","0","0"
"109","Davis Allen (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"110","Jake Ferguson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"111","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
""
""
