"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"80","Brandon Powell (MIN)","1","2","16","8.0","11","5.5","11","5.5","5","2.5","0","0.0","0","2","8.3%","2","0","0","1","0","0","0","0","11"
"81","Diontae Johnson (CAR)","1","3","15","5.0","7","2.3","39","13.0","8","2.7","3","1.0","0","6","23.1%","3","0","0","0","0","0","0","0","7"
"82","Jake Bobo (SEA)","1","2","15","7.5","11","5.5","11","5.5","4","2.0","2","1.0","0","2","4.7%","2","0","0","0","0","0","0","0","9"
"83","Tyler Lockett (SEA)","1","2","15","7.5","10","5.0","10","5.0","5","2.5","0","0.0","0","2","4.7%","2","0","0","1","0","0","0","0","16"
"84","Olamide Zaccheaus (WAS)","1","3","14","4.7","-5","-1.7","-5","-1.7","19","6.3","5","1.7","0","3","10.3%","3","0","0","0","0","0","0","0","8"
"85","Van Jefferson (PIT)","1","2","14","7.0","7","3.5","40","20.0","7","3.5","3","1.5","0","3","16.7%","2","0","1","1","0","0","0","0","12"
"86","Tre Tucker (LV)","1","2","13","6.5","-6","-3.0","-6","-3.0","19","9.5","3","1.5","0","2","5.6%","2","0","0","0","0","0","0","0","7"
"87","Grant DuBose (MIA)","1","1","13","13.0","13","13.0","52","52.0","0","0.0","0","0.0","0","3","8.1%","1","0","0","1","0","0","0","0","13"
"88","Ashton Dulin (IND)","1","1","13","13.0","5","5.0","24","24.0","8","8.0","2","2.0","0","2","6.5%","1","0","0","1","0","0","0","0","13"
"89","Nelson Agholor (BAL)","1","1","13","13.0","10","10.0","52","52.0","3","3.0","2","2.0","0","3","9.7%","1","0","0","1","0","0","0","0","13"
"90","Tank Dell (HOU)","1","1","-3","-3.0","-9","-9.0","42","42.0","6","6.0","0","0.0","0","4","11.8%","2","1","0","0","0","0","0","0","0"
"91","Tim Patrick (DET)","1","2","12","6.0","2","1.0","38","19.0","10","5.0","4","2.0","0","4","7.5%","2","0","0","1","0","0","0","0","10"
"92","Allen Lazard (NYJ)","1","2","11","5.5","9","4.5","50","25.0","2","1.0","0","0.0","0","4","13.8%","3","1","1","0","0","0","0","0","8"
"93","Greg Dortch (ARI)","1","2","11","5.5","0","0.0","0","0.0","11","5.5","4","2.0","0","2","9.5%","2","0","0","0","0","0","0","0","8"
