"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"180","Jordan Addison (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"181","Puka Nacua (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"182","Jamison Crowder (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"183","Tim Jones (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"184","Velus Jones Jr. (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"185","A.J. Brown (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"186","Dareke Young (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"187","Malik Heath (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
""
""
